transport_protocol,source_ip,destination_ip,header_length,total_length,ttl,source_port,destination_port,urgent_bit,acknowledgement_bit,push_bit,reset_bit,synchronize_bit,finish_bit
TCP,127.0.0.1,127.0.0.1,5,186,64,40,37,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,40,37,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,40,38,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,40,38,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,37,40,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,37,40,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,38,40,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,38,40,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,39,37,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,39,37,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,39,40,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,39,40,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,39,38,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,39,38,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,37,39,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,38,39,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,37,39,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,38,39,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,40,39,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,40,39,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,38,39,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,38,39,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,39,38,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,38,40,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,38,40,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,39,38,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,40,38,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,38,37,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,38,37,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,40,38,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,37,38,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,37,38,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,37,38,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,37,40,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,37,38,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,37,40,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,38,37,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,38,37,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,40,37,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,40,37,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,37,39,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,37,39,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,39,37,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,39,37,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,40,37,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,40,37,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,40,39,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,40,39,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,37,40,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,37,40,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,39,40,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,39,40,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,40,38,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,40,38,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,38,40,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,38,40,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,39,37,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,39,37,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,37,39,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,37,39,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,39,38,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,39,38,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,38,39,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,38,39,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,39,40,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,39,40,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,40,39,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,40,39,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,38,37,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,38,40,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,38,37,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,38,40,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,40,38,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,40,38,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,37,38,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,37,38,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,38,39,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,38,39,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,39,38,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,39,38,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,37,40,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,37,38,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,37,40,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,37,38,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,38,37,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,40,37,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,40,37,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,38,37,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,37,39,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,37,39,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,39,37,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,39,37,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,40,37,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,40,37,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,40,39,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,186,64,40,39,0,1,1,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,37,40,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,37,40,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,39,40,0,1,0,0,0,0
TCP,127.0.0.1,127.0.0.1,5,52,64,39,40,0,1,0,0,0,0
